Season,No. Overall,No. In season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
8,124,16,"""Harvey""",Christopher Misiano,Aaron Korsh & Genevieve Sparling & Ethan Drogin,"February 27, 2019",0.74
9,125,1,"""Everything's Changed""",Christopher Misiano,Aaron Korsh,"July 17, 2019",1.04
9,126,2,"""Special Master""",Michael Smith,Genevieve Sparling,"July 24, 2019",1.04
9,127,3,"""Windmills""",Gabriel Macht,Marshall Knight & Rob LaMorgese,"July 31, 2019",0.94
9,128,4,"""Cairo""",Anton Cropper,Sharyn Rothstein,"August 7, 2019",1.0
9,129,5,"""If the Shoe Fits""",Christopher Misiano,Jeffrey M. Lee & Jordan Pomaville,"August 14, 2019",0.96
9,130,6,"""Whatever It Takes""",Michael Smith,Ethan Drogin,"August 21, 2019",1.05
9,131,7,"""Scenic Route""",Emile Levisetti,Garrett Schabb,"September 4, 2019",1.07
9,132,8,"""Prisoner's Dilemma""",Julian Holmes,Ethan Drogin,"September 11, 2019",0.97
9,133,9,"""Thunder Away""",Robert Duncan McNeill,Genevieve Sparling,"September 18, 2019",0.96
9,134,10,"""One Last Con""",Aaron Korsh,Aaron Korsh,"September 25, 2019",0.86
